,product_name,price,product_weight,nutritional_elements
52,Mayver's All Natural Spread - Peanut Butter (Smooth),$7.97,375g,"{""Attributes"": ""Per Serving (20g)"", ""Energy"": ""486kj"", ""Protein"": ""5.0g"", ""Total Fat"": ""9.8g"", ""Saturated Fat"": ""1.3g"", ""Carbohydrate"": ""2.7g"", ""Dietary Fibre"": ""1.6g"", ""Sodium"": ""51mg"", ""Sugars"": ""0.8g""}"
53,Skippy Peanut Butter Spread - Creamy,$6.25,500g,"{""Attributes"": ""Per Serving (36g)"", ""Energy"": ""224kcal"", ""Protein"": ""8.6g"", ""Total Fat"": ""17.1g"", ""Saturated Fat"": ""3.6g"", ""Trans Fat"": ""0.04g"", ""Carbohydrate"": ""9.1g"", ""Dietary Fibre"": ""2.5g"", ""Sodium"": ""173mg""}"
54,Skippy Peanut Butter Spread - Chunky,$6.25,500g,"{""Attributes"": ""Per Serving (36g)"", ""Energy"": ""237kcal"", ""Protein"": ""8.9g"", ""Total Fat"": ""19.6g"", ""Saturated Fat"": ""4.3g"", ""Trans Fat"": ""0.05g"", ""Carbohydrate"": ""6.2g"", ""Dietary Fibre"": ""2.3g"", ""Sodium"": ""153mg""}"
55,Fortune Silken Egg Tofu - Extra Smooth with Omega 3 (Tube),$1.00,150g,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""72kcal"", ""Protein"": ""7.7g"", ""Total Fat"": ""3.6g"", ""Saturated Fat"": ""0.9g"", ""Omega-3"": ""135.0mg"", ""Trans-Fat"": ""0.0g"", ""Cholesterol"": ""107mg"", ""Carbohydrate"": ""2.1g"", ""Total Sugar"": ""0.0g"", ""Dietary Fibre"": ""1.0g"", ""Sodium"": ""179mg""}"
56,Fortune Silken Tofu - Japanese,$0.95,300g,"{""Attributes"": ""Per Serving(100g)"", ""Energy"": ""58kcal"", ""Protein"": ""5.3g"", ""Total Fat"": ""2.8g"", ""Saturated Fat"": ""0.6g"", ""Trans Fat"": ""0.0g"", ""Cholesterol"": ""0mg"", ""Carbohydrate"": ""2.7g"", ""Total Sugar"": ""1.1g"", ""Dietary Fibre"": ""0.0g"", ""Sodium"": ""3mg"", ""Calcium"": ""107.2mg""}"
57,Fortune Silken Tofu - Extra Smooth (Box),$0.95,300g,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""223kJ"", ""Trans Fat"": ""0g"", ""Protein"": ""5.2g"", ""Total Fat"": ""2.3g"", ""Saturated Fat"": ""1.3g"", ""Cholesterol"": ""0mg"", ""Carbohydrate"": ""3.1g"", ""Sugars"": ""1.2g"", ""Dietary Fibre"": ""0.6g"", ""Sodium"": ""3mg"", ""Calcium"": ""89.5mg""}"
58,Fortune Chinese Tofu - Omega 3 DHA,$0.95,300g,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""231kJ"", ""Trans Fat"": ""0g"", ""Protein"": ""5.2g"", ""Total Fat"": ""2.6g"", ""Saturated Fat"": ""0.4g"", ""Cholesterol"": ""0mg"", ""Carbohydrate"": ""2.3g"", ""Sugars"": ""1.1g"", ""Dietary Fibre"": ""1g"", ""Sodium"": ""2mg"", ""Calcium"": ""68mg"", ""Omega 3"": ""202mg""}"
60,Auga Organic Chickpeas without Brine,$3.12,150 G,"{""Attributes"": ""Per Serving (100g)"", ""Energy"": ""158kcal"", ""Protein"": ""9.0g"", ""Carbohydrate"": ""20.0g"", ""Total Fat"": ""2.0g""}"
61,Rude Health Organic Chickpea & Lentil Crackers,$6.00,120 G,"{""Attributes"": ""Per Serving (100)"", ""Energy"": ""1642kj"", ""Fat"": ""1.6g"", ""Carbohydrate"": ""78.5g"", ""Protein"": ""13g"", ""Salt"": ""0.4g""}"
65,Captain Oats Oatmeal - Instant,$4.25,800g + free 100g,"{""Attributes"": ""Per Serving (40g)"", ""Energy"": ""159kcal"", ""Trans Fat"": ""0g"", ""Calories from Fat"": ""29kcal"", ""Total Fat"": ""3.2g"", ""Saturated Fat"": ""0.6g"", ""Cholesterol"": ""0mg"", ""Sodium"": ""8.2mg"", ""Carbohydrate"": ""27.8g"", ""Dietary Fibre"": ""6.2g"", ""Sugars"": ""1.4g"", ""Protein"": ""4.6g"", ""Calcium"": ""23.6mg"", ""Soluble Fibre"": ""0.8g"", ""Insoluble Fibre"": ""5.4g"", ""Magnesium"": ""34.1mg"", ""Zinc"": ""0.8mg"", ""Iron"": ""1.3mg"", ""Monounsaturated Fat"": ""1.5g"", ""Polyunsaturated Fat"": ""1.2g""}"
